Name,Description
train-r-00000,Contains route data (flight information for leg1 + flight information for leg2) for `y` years prior to a given year in query file.Each train dataset row has a label which will be either '1' or '2'.'1' indicates a missed connection and '2' indicates a valid connection. Train dataset will be used for a ML model generation.
test-r-00000,Contains route data (flight information for leg1 + flight information for leg2) for a given year in query file.Train set will be applied to the model generated from train set and each test dataset row will be given a label (1 or 2). 
